,영화명,개봉일,관객수,장르,상영등급,기사수,감독수상,감독파워,배우수상,배우파워,개봉전트윗,개봉후트윗,holiday,season,개봉이전_스크린수,개봉이전_상영횟수,배급사크기
0,명량,20140730,17613682,사극,15세 관람가,56134,28,2,32,11,263,320,1,2,37.0,157.0,big
1,해적: 바다로 간 산적,20140806,8666046,어드벤처,12세 관람가,22656,9,4,19,4,230,289,1,2,27.0,167.0,big
2,수상한 그녀,20140122,8657982,드라마,15세 관람가,61925,27,2,21,11,223,264,1,4,19.0,149.0,big
3,국제시장,20141217,5345677,드라마,12세 관람가,53038,37,2,14,19,150,251,0,4,68.0,236.0,big
4,군도: 민란의 시대,20140723,4774931,사극,15세 관람가,21502,24,0,23,16,199,278,1,2,44.0,72.0,big
5,타짜-신의 손,20140903,4015361,드라마,청소년 관람불가,19273,16,2,4,3,265,261,0,3,28.0,84.0,big
6,역린,20140430,3849552,사극,15세 관람가,17528,0,2,14,5,208,274,0,1,25.0,35.0,big
7,신의 한 수,20140703,3566852,범죄,청소년 관람불가,190686,0,0,11,8,82,115,1,2,504.0,1320.0,big
8,끝까지 간다,20140529,3450305,액션,15세 관람가,41217,12,1,6,5,81,219,0,1,107.0,300.0,big
9,표적,20140430,2841828,액션,15세 관람가,23813,1,0,7,6,120,261,0,1,18.0,34.0,big
10,나의 사랑 나의 신부,20141008,2141155,멜로/로맨스,15세 관람가,13586,1,0,1,1,79,183,0,3,81.0,212.0,small
11,남자가 사랑할 때,20140122,1979311,멜로/로맨스,15세 관람가,9097,0,0,16,7,150,217,1,4,11.0,29.0,big
12,기술자들,20141224,1778083,범죄,15세 관람가,21944,1,0,3,5,169,252,0,4,477.0,1409.0,big
13,제보자,20141002,1755181,드라마,12세 관람가,13903,15,0,18,12,201,275,0,3,25.0,104.0,mid
14,피끓는 청춘,20140122,1676040,코미디,15세 관람가,6921,1,0,11,3,161,205,1,4,22.0,43.0,big
15,두근두근 내 인생,20140903,1624601,드라마,12세 관람가,11258,7,0,5,7,119,184,0,3,36.0,96.0,big
16,우아한 거짓말,20140313,1619188,드라마,12세 관람가,14524,3,2,3,7,107,217,0,1,62.0,149.0,mid
17,해무(海霧),20140813,1475507,드라마,청소년 관람불가,157,9,0,23,16,244,314,1,2,18.0,54.0,big
18,인간중독,20140514,1441973,멜로/로맨스,청소년 관람불가,25409,18,0,3,1,207,255,0,1,10.0,18.0,big
19,찌라시: 위험한 소문,20140220,1221427,범죄,15세 관람가,3938,2,2,4,11,148,93,1,4,9.0,26.0,big
20,빅매치,20141127,1177438,액션,15세 관람가,10132,10,0,14,9,171,218,0,3,446.0,1132.0,big
21,슬로우 비디오,20141002,1169562,드라마,12세 관람가,5936,2,0,3,2,140,266,0,3,17.0,67.0,small
22,방황하는 칼날,20140410,989906,범죄,청소년 관람불가,4496,3,0,12,4,110,215,0,1,12.0,43.0,big
23,우리는 형제입니다,20141023,970373,코미디,12세 관람가,10506,10,0,11,6,53,226,0,3,69.0,119.0,big
24,카트,20141113,812490,드라마,12세 관람가,18289,5,0,12,6,135,294,0,3,51.0,195.0,mid
25,관능의 법칙,20140213,781516,드라마,청소년 관람불가,7556,4,0,20,3,76,131,1,4,22.0,103.0,big
26,상의원,20141224,676632,사극,15세 관람가,13202,3,0,6,4,90,211,0,4,77.0,206.0,big
27,플랜맨,20140109,632299,드라마,15세 관람가,4349,0,0,13,3,77,169,1,4,46.0,83.0,big
28,우는 남자,20140604,603495,액션,청소년 관람불가,12694,19,1,4,1,82,115,0,2,408.0,1128.0,big
29,패션왕,20141106,594871,코미디,15세 관람가,14115,1,0,0,1,98,203,0,3,12.0,17.0,big
30,황제를 위하여,20140611,592435,액션,청소년 관람불가,5908,0,0,1,5,55,158,0,2,4.0,12.0,small
31,몬스터,20140313,526557,스릴러,청소년 관람불가,39560,0,0,1,3,101,200,0,1,7.0,11.0,big
32,또 하나의 약속,20140206,497613,드라마,12세 관람가,23347,0,0,14,12,134,304,1,4,26.0,48.0,small
33,소녀괴담,20140702,481696,미스터리,15세 관람가,6683,2,0,2,1,52,124,1,2,7.0,13.0,mid
34,조선미녀삼총사,20140129,480361,코미디,12세 관람가,5580,1,0,11,4,54,126,1,4,19.0,37.0,big
35,마담 뺑덕,20141002,471172,멜로/로맨스,청소년 관람불가,12554,1,0,4,4,47,55,0,3,21.0,49.0,big
36,좋은 친구들,20140710,407228,범죄,청소년 관람불가,9783,0,0,1,4,91,140,1,2,336.0,1853.0,big
37,나의 독재자,20141030,385932,드라마,15세 관람가,9345,10,0,29,8,55,168,0,3,474.0,1096.0,big
38,하이힐,20140603,341634,범죄,청소년 관람불가,15447,10,0,3,2,110,211,0,2,27.0,36.0,big
39,레드카펫,20141023,316953,멜로/로맨스,15세 관람가,287654,0,0,1,1,104,168,0,3,24.0,50.0,small
40,덕수리 5형제,20141204,210777,코미디,15세 관람가,4223,0,0,4,0,65,85,0,4,13.0,32.0,big
41,아빠를 빌려드립니다,20141120,172652,코미디,12세 관람가,3861,0,0,3,9,54,50,0,3,91.0,120.0,mid
